8.85E+02	2.38E-05
8.88E+02	1.59E-05
8.91E+02	1.61E-04
8.95E+02	2.13E-04
8.98E+02	3.05E-04
9.02E+02	4.62E-04
9.05E+02	4.74E-04
9.08E+02	5.50E-04
9.12E+02	7.73E-04
9.15E+02	8.40E-04
9.19E+02	9.91E-04
9.22E+02	1.16E-03
9.26E+02	1.19E-03
9.29E+02	1.28E-03
9.32E+02	1.49E-03
9.36E+02	1.63E-03
9.39E+02	1.72E-03
9.43E+02	1.78E-03
9.46E+02	1.84E-03
9.50E+02	1.98E-03
9.53E+02	2.05E-03
9.56E+02	2.10E-03
9.60E+02	2.13E-03
9.63E+02	2.19E-03
9.67E+02	2.22E-03
9.70E+02	2.15E-03
9.74E+02	2.01E-03
9.77E+02	1.99E-03
9.80E+02	1.88E-03
9.84E+02	1.78E-03
9.87E+02	1.77E-03
9.91E+02	1.73E-03
9.94E+02	1.57E-03
9.98E+02	1.58E-03
1.00E+03	1.48E-03
1.00E+03	1.46E-03
1.01E+03	1.39E-03
1.01E+03	1.31E-03
1.02E+03	1.32E-03
1.02E+03	1.23E-03
1.02E+03	1.19E-03
1.03E+03	1.26E-03
1.03E+03	1.22E-03
1.03E+03	1.21E-03
1.04E+03	1.18E-03
1.04E+03	1.13E-03
1.04E+03	1.21E-03
1.05E+03	1.17E-03
1.05E+03	1.15E-03
1.05E+03	1.21E-03
1.06E+03	1.12E-03
1.06E+03	1.24E-03
1.06E+03	1.20E-03
1.07E+03	1.20E-03
1.07E+03	1.16E-03
1.07E+03	1.17E-03
1.08E+03	1.23E-03
1.08E+03	1.19E-03
1.08E+03	1.22E-03
1.09E+03	1.24E-03
1.09E+03	1.18E-03
1.09E+03	1.18E-03
1.10E+03	1.14E-03
1.10E+03	1.21E-03
1.10E+03	1.15E-03
1.11E+03	1.12E-03
1.11E+03	1.09E-03
1.11E+03	1.05E-03
1.12E+03	1.03E-03
1.12E+03	1.00E-03
1.13E+03	1.00E-03
1.13E+03	9.70E-04
1.13E+03	9.27E-04
1.14E+03	9.05E-04
1.14E+03	8.72E-04
1.14E+03	8.38E-04
1.15E+03	8.14E-04
1.15E+03	7.36E-04
1.15E+03	7.87E-04
1.16E+03	6.91E-04
1.16E+03	6.72E-04
1.16E+03	6.91E-04
1.17E+03	6.72E-04
1.17E+03	6.71E-04
1.17E+03	6.49E-04
1.18E+03	5.86E-04
1.18E+03	6.38E-04
1.18E+03	6.02E-04
1.19E+03	5.25E-04
1.19E+03	5.39E-04
1.19E+03	5.08E-04
1.20E+03	5.36E-04
1.20E+03	5.17E-04
1.20E+03	4.63E-04
1.21E+03	4.70E-04
1.21E+03	4.42E-04
1.21E+03	4.22E-04
1.22E+03	3.88E-04
1.22E+03	3.75E-04
1.23E+03	3.51E-04
1.23E+03	4.52E-04
1.23E+03	3.55E-04
1.24E+03	3.20E-04
1.24E+03	3.57E-04
1.24E+03	3.28E-04
1.25E+03	3.35E-04
1.25E+03	3.93E-04
1.25E+03	3.72E-04
1.26E+03	3.57E-04
1.26E+03	2.60E-04
1.26E+03	3.89E-04
1.27E+03	3.08E-04
1.27E+03	2.90E-04
1.27E+03	3.23E-04
1.28E+03	2.54E-04
1.28E+03	2.70E-04
1.28E+03	2.95E-04
1.29E+03	3.35E-04
1.29E+03	2.90E-04
1.29E+03	2.95E-04
1.30E+03	3.39E-04
1.30E+03	2.45E-04
1.31E+03	3.21E-04
1.31E+03	2.86E-04
1.31E+03	3.06E-04
1.32E+03	2.90E-04
1.32E+03	2.58E-04
1.32E+03	2.85E-04
1.33E+03	2.75E-04
1.33E+03	3.33E-04
1.33E+03	2.57E-04
1.34E+03	3.64E-04
1.34E+03	2.93E-04
1.34E+03	3.10E-04
1.35E+03	3.55E-04
1.35E+03	2.65E-04
1.35E+03	3.41E-04
1.36E+03	2.83E-04
1.36E+03	2.86E-04
1.36E+03	3.12E-04
1.37E+03	3.15E-04
1.37E+03	2.96E-04
1.37E+03	3.13E-04
1.38E+03	3.14E-04
1.38E+03	3.34E-04
1.39E+03	3.31E-04
1.39E+03	3.11E-04
1.39E+03	2.50E-04
1.40E+03	2.09E-04
